127.0.0.1 - - [19/Sep/2020:07:07:08 +0200] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [19/Sep/2020:07:07:11 +0200] "OPTIONS /orionBE/CustomerController HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Sep/2020:07:12:04 +0200] "OPTIONS /orionBE/CustomerController HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Sep/2020:07:12:15 +0200] "OPTIONS /orionBE/CustomerController HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Sep/2020:07:12:51 +0200] "OPTIONS /orionBE/CustomerController HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Sep/2020:07:16:00 +0200] "OPTIONS /orionBE/CustomerController HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Sep/2020:07:17:26 +0200] "OPTIONS /orionBE/CustomerController HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Sep/2020:07:18:35 +0200] "OPTIONS /orionBE/CustomerController HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Sep/2020:07:18:56 +0200] "POST /orionBE/CustomerController HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Sep/2020:07:23:32 +0200] "POST /orionBE/CustomerController HTTP/1.1" 500 3942
0:0:0:0:0:0:0:1 - - [19/Sep/2020:07:24:05 +0200] "POST /orionBE/CustomerController HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Sep/2020:07:56:53 +0200] "OPTIONS /orionBE/CustomerController HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Sep/2020:08:02:09 +0200] "OPTIONS /orionBE/CustomerController HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Sep/2020:09:06:52 +0200] "OPTIONS /orionBE/CustomerController HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Sep/2020:09:07:20 +0200] "OPTIONS /orionBE/CustomerController HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Sep/2020:09:14:49 +0200] "OPTIONS /orionBE/CustomerController HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Sep/2020:09:17:00 +0200] "OPTIONS /orionBE/CustomerController HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Sep/2020:09:30:50 +0200] "OPTIONS /orionBE/CustomerController HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Sep/2020:09:31:52 +0200] "OPTIONS /orionBE/CustomerController HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Sep/2020:09:37:49 +0200] "OPTIONS /orionBE/CustomerController HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Sep/2020:09:38:32 +0200] "OPTIONS /orionBE/CustomerController HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Sep/2020:09:39:42 +0200] "OPTIONS /orionBE/CustomerController HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Sep/2020:09:40:33 +0200] "GET /orionBE/CustomerController HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [19/Sep/2020:09:40:33 +0200] "GET /favicon.ico HTTP/1.1" 404 762
